,WD17CD,comparison_Number_of_charities
1062,E05003939,13
1063,E05003940,7
1064,E05003941,12
1065,E05003942,3
1066,E05003943,7
1067,E05003944,8
1068,E05003946,8
1069,E05003947,1
1070,E05003948,4
1071,E05003957,11
1072,E05003958,8
1073,E05003959,8
1074,E05003961,17
1075,E05003962,16
1076,E05003963,10
1077,E05003964,19
1078,E05003965,8
1079,E05003966,24
1080,E05003967,22
1081,E05003968,27
1082,E05003969,12
1083,E05003970,19
1084,E05003971,48
1085,E05003972,30
1086,E05003973,17
1087,E05003974,10
1088,E05003975,22
1089,E05003976,12
1090,E05003977,32
1091,E05003978,15
1092,E05003979,4
1093,E05003980,8
1094,E05003981,3
1095,E05003982,18
1096,E05003983,22
1097,E05003984,8
1098,E05003985,3
1099,E05003986,10
1100,E05003987,31
1101,E05003988,1
1102,E05003989,13
1103,E05003995,30
1104,E05003996,9
1105,E05003997,28
1106,E05003998,17
1107,E05004000,23
1108,E05004001,2
1109,E05004002,13
1110,E05004003,7
1111,E05004004,19
1112,E05004005,16
1113,E05004006,14
1114,E05004007,14
1115,E05004008,10
1116,E05004009,17
1117,E05004010,8
1118,E05004011,19
1119,E05004012,14
1120,E05004013,3
1121,E05004015,19
1122,E05004016,8
1123,E05004017,10
1124,E05004018,8
1125,E05004019,1
1126,E05004020,23
1127,E05004021,24
1128,E05004022,22
1129,E05004023,24
1130,E05004024,12
1131,E05004025,9
1132,E05004026,15
1133,E05004027,11
1134,E05004028,14
1135,E05004029,15
1136,E05004030,13
1137,E05004031,16
1138,E05004032,11
1139,E05004033,12
1140,E05004034,17
1141,E05004035,12
1142,E05004036,9
1143,E05004067,16
1144,E05004068,27
1145,E05004069,9
1146,E05004070,19
1147,E05004071,14
1148,E05004072,11
1149,E05004073,8
1150,E05004074,10
1151,E05004075,8
1152,E05004076,1
1153,E05004077,15
1154,E05004078,15
1155,E05004079,9
1156,E05004080,9
1157,E05004081,25
1158,E05004110,5
1159,E05004112,9
1160,E05004147,6
1161,E05004153,23
1162,E05004154,9
1163,E05004159,4
1164,E05004160,4
1165,E05004161,7
1166,E05004162,9
1167,E05004163,8
1168,E05004164,13
1169,E05004165,18
1170,E05004167,4
1171,E05004169,7
1172,E05004170,2
1173,E05004171,6
1174,E05004173,21
1175,E05004174,6
1176,E05004179,10
1177,E05004180,7
1178,E05004181,5
1179,E05004182,8
1180,E05004183,9
1181,E05004184,13
1182,E05004185,10
1183,E05004186,22
1184,E05004187,11
1185,E05004188,6
1186,E05004189,7
1187,E05004228,1
1188,E05004229,13
1189,E05004230,4
1190,E05004231,9
1191,E05004233,3
1192,E05004234,25
1193,E05004235,8
1194,E05004236,3
1195,E05004238,4
1196,E05004239,9
1197,E05004240,12
1198,E05004241,6
1199,E05004242,9
1200,E05004244,13
1201,E05004246,19
1202,E05004247,11
1203,E05004248,13
1204,E05004250,12
1205,E05004251,6
1206,E05004252,5
1207,E05004253,6
1208,E05004254,7
1209,E05004255,4
1210,E05004256,8
1211,E05004257,10
1212,E05004258,9
1213,E05004260,15
1214,E05004288,21
1215,E05004289,12
1216,E05004290,10
1217,E05004291,23
1218,E05004292,15
1219,E05004293,24
1220,E05004294,4
1221,E05004295,30
1222,E05004296,26
1223,E05004297,10
1224,E05004298,31
1225,E05004299,16
1226,E05004300,17
1227,E05004301,6
1228,E05004302,10
1229,E05004303,2
1230,E05004304,6
1231,E05004305,12
1232,E05004306,7
1233,E05004307,11
1234,E05004336,13
1235,E05004337,7
1236,E05004338,4
1237,E05004339,6
1238,E05004340,7
1239,E05004341,10
1240,E05004342,10
1241,E05004343,6
1242,E05004344,13
1243,E05004345,3
1244,E05004346,14
1245,E05004347,6
1246,E05004348,16
1247,E05004349,16
1248,E05004350,8
1249,E05004351,23
1250,E05004352,7
1251,E05004353,5
1252,E05004354,18
1253,E05004355,13
1254,E05004356,26
1255,E05004357,23
1256,E05004358,17
1257,E05004359,9
1258,E05004360,12
1259,E05004361,14
1260,E05004362,19
1261,E05004408,9
1262,E05004416,7
1263,E05004418,9
1264,E05004422,4
1265,E05004425,6
1266,E05004427,22
1267,E05004428,14
1268,E05004430,28
1269,E05004431,14
1270,E05004432,10
1271,E05004433,6
1272,E05004434,7
1273,E05004435,13
1274,E05004436,40
1275,E05004437,33
1276,E05004438,11
1277,E05004439,18
1278,E05004440,17
1279,E05004441,14
1280,E05004442,9
1281,E05004443,8
1282,E05004444,28
1283,E05004445,7
1284,E05004446,32
1285,E05004447,23
1286,E05004448,7
1287,E05004449,7
1288,E05004450,3
1289,E05004451,4
1290,E05004452,15
1291,E05004453,12
1292,E05004454,12
1293,E05004455,5
1294,E05004456,24
1295,E05004457,22
1296,E05004458,7
1297,E05004459,7
1298,E05004460,6
1299,E05004461,6
1300,E05004462,12
1301,E05004463,14
1302,E05004464,8
1303,E05004465,13
1304,E05004466,34
1305,E05004468,26
1306,E05004469,14
1307,E05004470,20
1308,E05004471,20
1309,E05004472,19
1310,E05004473,32
1311,E05004474,19
1312,E05004480,4
1313,E05004481,27
1314,E05004482,9
1315,E05004483,8
1316,E05004484,4
1317,E05004485,10
1318,E05004486,14
1319,E05004487,15
1320,E05004488,18
1321,E05004490,27
1322,E05004491,17
1323,E05004492,11
1324,E05004493,3
1325,E05004494,2
1326,E05004495,1
1327,E05004496,5
1328,E05004497,5
1329,E05004498,15
1330,E05004499,16
1331,E05004500,20
1332,E05004501,26
1333,E05004502,14
1334,E05004503,20
1335,E05004504,6
1336,E05004505,10
1337,E05004506,29
1338,E05004507,14
1339,E05004508,9
1340,E05004509,15
1341,E05004510,12
1342,E05004511,23
1343,E05004512,14
1344,E05004513,7
1345,E05004514,11
1346,E05004515,12
1347,E05004516,16
1348,E05004517,10
1349,E05004518,3
1350,E05004519,8
1351,E05004520,11
1352,E05004521,15
1353,E05004522,13
1354,E05004523,14
1355,E05004524,20
1356,E05004525,13
1357,E05004526,19
1358,E05004527,20
1359,E05004528,22
1360,E05004529,13
1361,E05004530,17
1362,E05004531,8
1363,E05004532,13
1364,E05004533,4
1365,E05004534,3
1366,E05004535,8
1367,E05004536,10
1368,E05004537,5
1369,E05004538,3
1370,E05004539,4
1371,E05004540,1
1372,E05004541,8
1373,E05004542,14
1374,E05004543,6
1375,E05004544,4
1376,E05004545,5
1377,E05004546,5
1378,E05004547,14
1379,E05004571,27
1380,E05004573,17
1381,E05004574,18
1382,E05004580,17
1383,E05004581,21
1384,E05004582,6
1385,E05004583,11
1386,E05004584,25
1387,E05004585,12
1388,E05004586,28
1389,E05004587,38
1390,E05004588,11
1391,E05004589,16
1392,E05004590,21
1393,E05004592,8
1394,E05004593,9
1395,E05004596,3
1396,E05004597,11
1397,E05004598,18
1398,E05004599,6
1399,E05004600,24
1400,E05004601,24
1401,E05004602,17
1402,E05004603,34
1403,E05004604,15
1404,E05004605,12
1405,E05004606,12
1406,E05004607,16
1407,E05004608,21
1408,E05004609,6
1409,E05004610,11
1410,E05004611,9
1411,E05004612,7
1412,E05004613,3
1413,E05004628,28
1414,E05004629,8
1415,E05004630,16
1416,E05004631,12
1417,E05004632,23
1418,E05004633,26
1419,E05004634,7
1420,E05004635,35
1421,E05004636,7
1422,E05004637,26
1423,E05004638,13
1424,E05004639,8
1425,E05004640,18
1426,E05004641,8
1427,E05004642,19
1428,E05004643,21
1429,E05004644,7
1430,E05004645,11
1431,E05004646,21
1432,E05004647,13
1433,E05004648,16
1434,E05004649,16
1435,E05004650,11
1436,E05004651,15
1437,E05004693,15
1438,E05004711,12
1439,E05004712,17
1440,E05004713,20
1441,E05004716,22
1442,E05004717,14
1443,E05004718,19
1444,E05004719,23
1445,E05004720,20
1446,E05004721,6
1447,E05004724,9
1448,E05004725,25
1449,E05004726,35
1450,E05004727,14
1451,E05004728,4
1452,E05004729,10
1453,E05004730,8
1454,E05004731,29
1455,E05004732,16
1456,E05004733,12
1457,E05004734,6
1458,E05004735,23
1459,E05004736,9
1460,E05004737,37
1461,E05004738,10
1462,E05004739,26
1463,E05004741,12
1464,E05004742,15
1465,E05004743,10
1466,E05004744,18
1467,E05004745,11
1468,E05004747,7
1469,E05004752,12
1470,E05004753,14
1471,E05004754,11
1472,E05004755,23
1473,E05004773,1
1474,E05004800,1
1475,E05004804,1
1476,E05004867,3
1477,E05004868,3
1478,E05004869,12
1479,E05004870,3
1480,E05004871,11
1481,E05004873,21
1482,E05004874,3
1483,E05004875,12
1484,E05004876,8
1485,E05004877,11
1486,E05004878,7
1487,E05004879,14
1488,E05004880,7
1489,E05004881,6
1490,E05004882,3
1491,E05004883,12
