,wd11cd,comparison_Number_of_charities
873,E05002605,5
874,E05002606,14
875,E05002607,24
876,E05002608,10
877,E05002609,46
878,E05002610,37
879,E05002611,18
880,E05002612,13
881,E05002613,10
882,E05002614,14
883,E05002615,18
884,E05002617,15
885,E05002618,8
886,E05002619,9
887,E05002620,13
888,E05002621,7
889,E05002622,24
890,E05002623,16
891,E05002624,5
892,E05002625,12
893,E05002626,52
894,E05002627,1
895,E05002628,12
896,E05002629,37
897,E05002636,11
898,E05002641,9
899,E05002643,23
900,E05002645,11
901,E05002647,3
902,E05002649,4
903,E05002650,32
904,E05002672,1
905,E05002674,29
906,E05002675,25
907,E05002676,4
908,E05002677,1
909,E05002678,9
910,E05002679,28
911,E05002680,8
912,E05002681,16
913,E05002682,18
914,E05002683,37
915,E05002684,1
916,E05002685,1
917,E05002686,9
918,E05002687,15
919,E05002688,21
920,E05002689,18
921,E05002692,4
922,E05002693,9
923,E05002694,19
924,E05002695,10
925,E05002696,18
926,E05002697,19
927,E05002698,8
928,E05002699,45
929,E05002700,10
930,E05002701,31
931,E05002704,1
932,E05002716,11
933,E05002717,21
934,E05002734,17
935,E05002736,3
936,E05002737,5
937,E05002738,5
938,E05002740,2
939,E05002741,11
940,E05002742,2
941,E05002744,2
942,E05002746,2
943,E05002747,18
944,E05002748,8
945,E05002749,12
946,E05002750,13
947,E05002751,16
948,E05002752,9
949,E05002753,26
950,E05002756,1
951,E05002757,3
952,E05002758,8
953,E05002759,2
954,E05002760,6
955,E05002761,3
956,E05002763,23
957,E05002769,21
958,E05002771,25
959,E05002772,4
960,E05002777,8
961,E05002779,4
962,E05002781,10
963,E05002784,15
964,E05002791,28
965,E05002792,14
966,E05002793,13
967,E05002795,32
968,E05002796,14
969,E05002797,14
970,E05002798,45
971,E05002799,15
972,E05002800,7
973,E05002801,19
974,E05002802,18
975,E05002804,7
976,E05002805,17
977,E05002806,27
978,E05002807,24
979,E05002808,25
980,E05002809,10
981,E05002812,17
982,E05002813,9
983,E05002814,12
984,E05002815,25
985,E05002816,16
986,E05002818,15
987,E05002820,57
988,E05002821,14
989,E05002822,23
990,E05002823,16
991,E05002824,22
992,E05003114,18
993,E05003116,11
994,E05003117,22
995,E05003118,10
996,E05003119,2
997,E05003120,23
998,E05003121,11
999,E05003122,12
1000,E05003123,18
1001,E05003124,5
1002,E05003125,5
1003,E05003126,2
1004,E05003127,5
1005,E05003128,2
1006,E05003129,32
1007,E05003131,2
1008,E05003132,2
1009,E05003133,9
1010,E05003134,8
1011,E05003135,10
1012,E05003136,14
1013,E05003139,3
1014,E05003145,3
1015,E05003146,4
1016,E05003147,14
1017,E05003148,20
1018,E05003149,10
1019,E05003150,11
1020,E05003151,11
1021,E05003152,3
1022,E05003153,4
1023,E05003154,2
1024,E05003155,5
1025,E05003156,3
1026,E05003157,3
1027,E05003180,2
1028,E05003181,7
1029,E05003182,13
1030,E05003183,9
1031,E05003184,8
1032,E05003185,2
1033,E05003186,9
1034,E05003187,6
1035,E05003188,6
1036,E05003189,6
1037,E05003190,2
1038,E05003191,6
1039,E05003192,20
1040,E05003193,4
1041,E05003194,8
1042,E05003195,6
1043,E05003196,4
1044,E05003197,5
1045,E05003198,14
1046,E05003199,6
1047,E05003200,5
1048,E05003201,9
1049,E05003202,8
1050,E05003203,5
1051,E05003204,17
1052,E05003206,5
1053,E05003207,3
1054,E05003208,22
1055,E05003209,12
1056,E05003210,16
1057,E05003211,12
1058,E05003212,12
1059,E05003213,15
1060,E05003214,18
1061,E05003215,13
1062,E05003216,21
1063,E05003217,10
1064,E05003218,7
1065,E05003219,16
1066,E05003220,5
1067,E05003221,12
1068,E05003222,12
1069,E05003223,6
1070,E05003224,4
1071,E05003225,12
1072,E05003226,14
1073,E05003227,1
1074,E05003228,3
1075,E05003229,9
1076,E05003230,14
1077,E05003231,10
1078,E05003232,7
1079,E05003233,22
1080,E05003234,15
1081,E05003235,25
1082,E05003237,23
1083,E05003240,15
1084,E05003241,18
1085,E05003243,11
1086,E05003244,15
1087,E05003245,32
1088,E05003246,12
1089,E05003262,10
1090,E05003263,10
1091,E05003264,22
1092,E05003266,32
1093,E05003267,25
1094,E05003269,3
1095,E05003270,4
1096,E05003271,11
1097,E05003272,3
1098,E05003273,6
1099,E05003274,16
1100,E05003275,1
1101,E05003276,20
1102,E05003277,8
1103,E05003278,20
1104,E05003279,8
1105,E05003280,9
1106,E05003281,9
1107,E05003282,15
1108,E05003283,17
1109,E05003284,17
1110,E05003286,1
1111,E05003289,8
1112,E05003290,5
1113,E05003292,8
1114,E05003293,10
1115,E05003295,6
1116,E05003299,7
1117,E05003300,6
1118,E05003301,15
1119,E05003302,9
1120,E05003304,8
1121,E05003311,3
1122,E05003312,3
1123,E05003313,2
1124,E05003314,1
1125,E05003315,1
1126,E05003317,1
1127,E05003319,6
1128,E05003320,7
1129,E05003321,7
1130,E05003344,26
1131,E05003345,4
1132,E05003349,11
1133,E05003352,11
1134,E05003354,12
1135,E05003357,8
1136,E05003358,11
1137,E05003362,1
1138,E05003364,9
1139,E05003365,2
1140,E05003368,18
1141,E05003370,8
1142,E05003371,13
1143,E05003372,9
1144,E05003377,21
1145,E05003379,2
1146,E05003380,4
1147,E05003381,15
1148,E05003383,8
1149,E05003384,3
1150,E05003385,10
1151,E05003388,10
1152,E05003389,2
1153,E05003390,23
1154,E05003391,7
1155,E05003392,19
1156,E05003393,4
1157,E05003394,10
1158,E05003395,9
1159,E05003396,10
1160,E05003397,10
1161,E05003399,2
1162,E05003400,5
1163,E05003401,11
1164,E05003402,2
1165,E05003403,13
1166,E05003404,3
1167,E05003405,2
1168,E05003406,14
1169,E05003407,7
1170,E05003408,5
1171,E05003409,5
1172,E05003410,3
1173,E05003411,11
1174,E05003412,4
1175,E05003413,10
1176,E05003414,1
1177,E05003415,16
1178,E05003416,3
1179,E05003434,3
1180,E05003437,12
1181,E05003459,9
1182,E05003460,19
1183,E05003461,10
1184,E05003462,6
1185,E05003465,28
1186,E05003466,13
1187,E05003475,13
1188,E05003476,22
1189,E05003477,5
1190,E05003478,20
1191,E05003480,24
1192,E05003481,6
1193,E05003482,21
1194,E05003483,22
1195,E05003484,16
1196,E05003485,30
1197,E05003486,13
1198,E05003487,6
1199,E05003490,16
1200,E05003511,8
1201,E05003512,20
1202,E05003513,14
1203,E05003514,24
1204,E05003515,16
1205,E05003516,15
1206,E05003517,9
1207,E05003518,6
1208,E05003519,14
1209,E05003520,25
1210,E05003521,18
1211,E05003522,28
1212,E05003524,22
1213,E05003526,11
1214,E05003527,12
1215,E05003528,17
1216,E05003529,11
1217,E05003530,21
1218,E05003531,16
1219,E05003533,14
1220,E05003534,8
1221,E05003535,18
1222,E05003536,9
1223,E05003537,11
1224,E05003538,22
1225,E05003539,10
1226,E05003540,16
1227,E05003541,14
1228,E05003542,2
1229,E05003543,6
1230,E05003544,28
1231,E05003545,2
1232,E05003546,15
1233,E05003547,11
1234,E05003548,13
1235,E05003549,10
1236,E05003550,20
1237,E05003551,6
1238,E05003552,9
1239,E05003553,15
1240,E05003554,14
1241,E05003555,15
1242,E05003556,14
1243,E05003557,18
1244,E05003558,8
1245,E05003559,1
1246,E05003564,9
1247,E05003569,8
1248,E05003570,19
1249,E05003571,10
1250,E05003572,10
1251,E05003573,10
1252,E05003581,27
1253,E05003591,46
1254,E05003592,11
